id,role,proposal_screen,status,wire_level,file_path,route,notes,sprint_id
AUTH-01,Shared,Splash Screen,EXISTS,WIRED,apps/passenger-app/src/screens/auth/Splash.tsx,Auth/Splash,Auto-nav to onboard or home,—
AUTH-02,Shared,Splash Screen (Driver),EXISTS,WIRED,apps/driver-app/src/screens/auth/DriverSplash.tsx,Auth/DriverSplash,Driver entry,—
AUTH-03,Shared,Onboarding Carousel,EXISTS,UI_ONLY,apps/passenger-app/src/screens/auth/Onboard1.tsx|Onboard2.tsx|Onboard3.tsx,Auth/Onboard1-3,3 static screens not swipe carousel,—
AUTH-04,Passenger,Phone Number Login,EXISTS,WIRED,apps/passenger-app/src/screens/auth/Login.tsx,Auth/Login,Phone + OTP steps in one screen,—
AUTH-05,Passenger,OTP Verification,EXISTS,WIRED,apps/passenger-app/src/screens/auth/Login.tsx,Auth/Login (step=otp),Merged into Login not separate screen,—
AUTH-06,Passenger,Sign Up / Profile completion,EXISTS,WIRED,apps/passenger-app/src/screens/auth/SignUp.tsx,Auth/SignUp,Post-OTP name/email,—
AUTH-07,Driver,Phone Login,EXISTS,WIRED,apps/driver-app/src/screens/auth/DriverLogin.tsx,Auth/DriverLogin,OTP flow,—
AUTH-08,Shared,Role Selection,BY_DESIGN,N/A,—,—,Separate passenger/driver apps no unified picker,—
AUTH-09,Shared,Location Permission Request,EXISTS,PARTIAL,apps/passenger-app/src/stores/locationStore.ts,—,Inline on Home no dedicated screen,S5-A
AUTH-10,Shared,Notification Permission,EXISTS,PARTIAL,apps/passenger-app/src/services/fcm.ts|apps/driver-app/src/services/fcm.ts,—,Programmatic after auth no dedicated UX,S5-A
PAX-01,Passenger,Home Map (live drivers),EXISTS,PARTIAL,apps/passenger-app/src/screens/home/Home.tsx,Main/HomeTab,Map + location no nearby driver markers,S5-B
PAX-02,Passenger,Destination Search,EXISTS,UI_ONLY,apps/passenger-app/src/screens/home/Booking.tsx,Booking,Text inputs no Google Places,S5-B
PAX-03,Passenger,Pickup Location Selector,EXISTS,UI_ONLY,apps/passenger-app/src/screens/home/Booking.tsx,Booking,Same screen not map pin picker,S5-B
PAX-04,Passenger,Ride Type Selection,EXISTS,WIRED,apps/passenger-app/src/screens/home/RideOptions.tsx,RideOptions,Keke + shared via API estimate,S2
PAX-05,Passenger,Fare Estimate Preview,EXISTS,WIRED,apps/passenger-app/src/screens/home/RideOptions.tsx|ConfirmRide.tsx,RideOptions|ConfirmRide,DB pricing via tripStore,S2-P
PAX-06,Passenger,Ride Request Confirmation,EXISTS,WIRED,apps/passenger-app/src/screens/home/ConfirmRide.tsx,ConfirmRide,POST /trips/request,S2
PAX-07,Passenger,Driver Matching / Searching,EXISTS,WIRED,apps/passenger-app/src/screens/trip/FindingDriver.tsx,FindingDriver,Socket + cancel wired,S2
PAX-08,Passenger,Driver Found,EXISTS,WIRED,apps/passenger-app/src/screens/trip/DriverEnRoute.tsx,DriverEnRoute,Merged with en-route tracking,S2
PAX-09,Passenger,Live Trip Tracking,EXISTS,WIRED,apps/passenger-app/src/screens/trip/DriverEnRoute.tsx|TripActive.tsx,DriverEnRoute|TripActive,Map + directions + socket,S3-M
PAX-10,Passenger,Trip In Progress,EXISTS,WIRED,apps/passenger-app/src/screens/trip/TripActive.tsx,TripActive,Active trip + SOS trigger,S2
PAX-11,Passenger,Payment Method Selection,EXISTS,PARTIAL,apps/passenger-app/src/screens/account/PaymentMethods.tsx|home/ConfirmRide.tsx,PaymentMethods|ConfirmRide,Paystack scaffold card add simulated,S6-A
PAX-12,Passenger,Trip Summary,EXISTS,WIRED,apps/passenger-app/src/screens/trip/TripComplete.tsx,TripComplete,Post-complete fare from socket,S2
PAX-13,Passenger,Rating & Review,EXISTS,WIRED,apps/passenger-app/src/screens/trip/RateDriver.tsx,RateDriver,POST /trips/:id/rate-driver,S2
PAX-14,Passenger,Receipt / Invoice,EXISTS,PARTIAL,apps/passenger-app/src/screens/trip/TripComplete.tsx,TripComplete,No separate PDF/invoice screen,S6-B
